Episode: 0, Total Reward: -5000275.0, Total Length: 56.0 
Episode: 1, Total Reward: -5000131.0, Total Length: 27.0 
Episode: 2, Total Reward: -5000106.0, Total Length: 22.0 
Episode: 3, Total Reward: -5000196.0, Total Length: 40.0 
Episode: 4, Total Reward: -5000100.0, Total Length: 21.0 
Episode: 5, Total Reward: -5000084.0, Total Length: 17.0 
Episode: 6, Total Reward: -5000124.0, Total Length: 25.0 
Episode: 7, Total Reward: -5000128.0, Total Length: 26.0 
Episode: 8, Total Reward: -5000119.0, Total Length: 24.0 
Episode: 9, Total Reward: -5000121.0, Total Length: 25.0 
Episode: 10, Total Reward: -5000104.0, Total Length: 21.0 
Episode: 11, Total Reward: -5000112.0, Total Length: 23.0 
Episode: 12, Total Reward: -5000107.0, Total Length: 22.0 
Episode: 13, Total Reward: -5000086.0, Total Length: 18.0 
Episode: 14, Total Reward: -5000126.0, Total Length: 26.0 
Episode: 15, Total Reward: -5000106.0, Total Length: 22.0 
Episode: 16, Total Reward: -5000115.0, Total Length: 24.0 
Episode: 17, Total Reward: -5000329.0, Total Length: 66.0 
Episode: 18, Total Reward: -5000110.0, Total Length: 23.0 
Episode: 19, Total Reward: -5000127.0, Total Length: 26.0 
Episode: 20, Total Reward: -5001009.0, Total Length: 202.0 
Episode: 21, Total Reward: -5001703.0, Total Length: 341.0 
Episode: 22, Total Reward: -5000101.0, Total Length: 21.0 
Episode: 23, Total Reward: -5000116.0, Total Length: 24.0 
Episode: 24, Total Reward: -5000129.0, Total Length: 26.0 
Episode: 25, Total Reward: -5000096.0, Total Length: 20.0 
Episode: 26, Total Reward: -5000122.0, Total Length: 25.0 
Episode: 27, Total Reward: -5000111.0, Total Length: 23.0 
Episode: 28, Total Reward: -5000116.0, Total Length: 24.0 
Episode: 29, Total Reward: -5000077.0, Total Length: 16.0 
Episode: 30, Total Reward: -5000082.0, Total Length: 17.0 
Episode: 31, Total Reward: -5000120.0, Total Length: 25.0 
Episode: 32, Total Reward: -5000103.0, Total Length: 21.0 
Episode: 33, Total Reward: -5000119.0, Total Length: 24.0 
Episode: 34, Total Reward: -5000206.0, Total Length: 42.0 
Episode: 35, Total Reward: -5000124.0, Total Length: 25.0 
Episode: 36, Total Reward: -5000132.0, Total Length: 27.0 
Episode: 37, Total Reward: -5000118.0, Total Length: 24.0 
Episode: 38, Total Reward: -5000131.0, Total Length: 27.0 
Episode: 39, Total Reward: -5000101.0, Total Length: 21.0 
Episode: 40, Total Reward: -5000158.0, Total Length: 32.0 
Episode: 41, Total Reward: -5000218.0, Total Length: 44.0 
Episode: 42, Total Reward: -5000078.0, Total Length: 16.0 
Episode: 43, Total Reward: -5000121.0, Total Length: 25.0 
Episode: 44, Total Reward: -5000124.0, Total Length: 25.0 
Episode: 45, Total Reward: -5000130.0, Total Length: 27.0 
Episode: 46, Total Reward: -5000107.0, Total Length: 22.0 
Episode: 47, Total Reward: -5000178.0, Total Length: 36.0 
Episode: 48, Total Reward: -5000101.0, Total Length: 21.0 
Episode: 49, Total Reward: -5000124.0, Total Length: 25.0 
Episode: 50, Total Reward: -5000150.0, Total Length: 31.0 
Episode: 51, Total Reward: -5000212.0, Total Length: 43.0 
Episode: 52, Total Reward: -5000121.0, Total Length: 25.0 
Episode: 53, Total Reward: -5000092.0, Total Length: 19.0 
Episode: 54, Total Reward: -5000122.0, Total Length: 25.0 
Episode: 55, Total Reward: -5000115.0, Total Length: 24.0 
Episode: 56, Total Reward: -5001229.0, Total Length: 246.0 
Episode: 57, Total Reward: -5000117.0, Total Length: 24.0 
Episode: 58, Total Reward: -5000096.0, Total Length: 20.0 
Episode: 59, Total Reward: -5000131.0, Total Length: 27.0 
Episode: 60, Total Reward: -5000206.0, Total Length: 42.0 
Episode: 61, Total Reward: -5000192.0, Total Length: 39.0 
Episode: 62, Total Reward: -5000117.0, Total Length: 24.0 
Episode: 63, Total Reward: -5000140.0, Total Length: 29.0 
Episode: 64, Total Reward: -5000095.0, Total Length: 20.0 
Episode: 65, Total Reward: -5000097.0, Total Length: 20.0 
Episode: 66, Total Reward: -5000159.0, Total Length: 32.0 
Episode: 67, Total Reward: -5000100.0, Total Length: 21.0 
Episode: 68, Total Reward: -5000133.0, Total Length: 27.0 
Episode: 69, Total Reward: -5000148.0, Total Length: 30.0 
Episode: 70, Total Reward: -5002326.0, Total Length: 466.0 
Episode: 71, Total Reward: -5000102.0, Total Length: 21.0 
Episode: 72, Total Reward: -5000114.0, Total Length: 23.0 
Episode: 73, Total Reward: -5000091.0, Total Length: 19.0 
Episode: 74, Total Reward: -5000498.0, Total Length: 100.0 
Episode: 75, Total Reward: -5000097.0, Total Length: 20.0 
Episode: 76, Total Reward: -5000100.0, Total Length: 21.0 
Episode: 77, Total Reward: -5000128.0, Total Length: 26.0 
Episode: 78, Total Reward: -5000138.0, Total Length: 28.0 
Episode: 79, Total Reward: -5000102.0, Total Length: 21.0 
Episode: 80, Total Reward: -5000109.0, Total Length: 22.0 
Episode: 81, Total Reward: -5000123.0, Total Length: 25.0 
Episode: 82, Total Reward: -5000127.0, Total Length: 26.0 
Episode: 83, Total Reward: -5000119.0, Total Length: 24.0 
Episode: 84, Total Reward: -5000827.0, Total Length: 166.0 
Episode: 85, Total Reward: -5000109.0, Total Length: 22.0 
Episode: 86, Total Reward: -5000120.0, Total Length: 25.0 
Episode: 87, Total Reward: -5000111.0, Total Length: 23.0 
Episode: 88, Total Reward: -5000247.0, Total Length: 50.0 
Episode: 89, Total Reward: -5000104.0, Total Length: 21.0 
Episode: 90, Total Reward: -5000144.0, Total Length: 29.0 
Episode: 91, Total Reward: -5000118.0, Total Length: 24.0 
Episode: 92, Total Reward: -5000135.0, Total Length: 28.0 
Episode: 93, Total Reward: -5000692.0, Total Length: 139.0 
Episode: 94, Total Reward: -5000113.0, Total Length: 23.0 
Episode: 95, Total Reward: -5000206.0, Total Length: 42.0 
Episode: 96, Total Reward: -5000126.0, Total Length: 26.0 
Episode: 97, Total Reward: -5000155.0, Total Length: 32.0 
Episode: 98, Total Reward: -5000107.0, Total Length: 22.0 
Episode: 99, Total Reward: -5000101.0, Total Length: 21.0 
